-377969/39865 -777/1898 7297/1064 -216823/22861 73499/13617 18773/6405 -187837/29997 83491/23767 -348017/57428 -153841/16414 81215/11503 -329/454 -53266/27873 337201/47068 154585/93703 -3743/715 -41345/98756 -18709/2109 -312373/38551 -72983/17602 -594697/89554 14373/8371 -464149/47238 -51250/16507 -2133/217 69172/22405 -393820/59697 -402021/45302 -65709/32098 34392/27187 -51349/11820 -22947/9271 60884/11503 419256/80323 230752/61485 127983/23360 -222699/30625 23659/4448 -78783/19888 159290/41483 129266/15289 -178/1937 111749/17203 407155/83707 -250685/32433 53001/6127 110692/43211 79547/20404 -103141/20083 271929/45433 >
-24074/13089 -103429/55812 -169854/29653 471305/49737 366783/69055 37553/4213 -81097/65605 153229/25533 63592/10755 -206752/24107 -9311/3297 255512/43981 -96997/16219 344851/49818 -210811/38297 -48703/7555 12191/4019 26667/3920 404837/53016 356700/44749 16805/11921 -276615/40498 72888/52255 85840/12559 -16919/54356 29644/4401 -6685/1198 -355653/56053 10983/6044 -3119/1019 598604/63919 12179/2502 236997/44422 21433/4403 -496816/56495 -210959/53824 -90355/80711 -24753/65413 -158709/28517 88315/13897 -162001/25964 -120746/14315 122669/33003 42551/20811 310907/82865 -291787/40922 16656/7141 -31543/14259 -147789/26540 -432901/49619 >
532/87 -204039/72286 -351507/54310 -167765/29778 -458353/78538 -48007/20481 48653/17587 615193/68468 -69319/22726 584675/93642 -160045/47494 -234473/31528 -105027/50000 -260265/61783 142963/30425 26673/16837 360051/61289 147313/28939 124305/19123 -37665/25388 -69979/11590 108843/21692 2461/341 -333781/48932 6841/4705 -160708/34711 -46587/10168 451747/99030 35779/4565 -453610/48093 -4861/4335 395563/95691 -598067/83069 58151/6656 -163389/16565 1/39 -19742/6435 -117753/27424 -122433/77167 -547889/77368 12059/65179 142750/84249 -657506/85361 -44963/8530 -123815/63511 4538/7047 20097/33799 3608/21561 -635377/81721 166808/63277 >
-30880/3819 3293/93107 389081/49851 -187471/91539 -25022/19215 -189191/93641 313295/35937 94592/17549 629765/71473 16237/6337 -6431/43736 8653/25159 -3465/11444 -256063/32941 56262/46505 225137/26798 -799965/90107 20020/35071 -30659/57046 307689/93439 -165745/25384 -162181/19692 90835/52928 8585/2004 -27787/19049 -96531/55213 -26989/21719 2697/7115 -23832/62381 193054/21941 593118/74797 18720/3031 45296/7173 94295/14387 -234411/53465 -144778/48341 -85951/10802 -118219/47402 230312/33341 -40876/37883 14351/5895 592877/86766 36782/12871 854944/90231 -312736/45765 -65868/41131 634417/78376 -93861/17512 6214/6321 -13307/7515 =
6146/741 618/269 -12251/1238 886519/91902 43885/23784 -75841/19468 529849/80788 60802/34429 6165/1133 -34788/6259 66101/14398 -64137/12962 35/559 -76047/19330 -49137/81953 -40427/8566 -300157/94957 -65367/27548 244/201 -825612/87421 -215817/25589 -316780/42503 7946/46233 79905/16631 -47269/17555 -31082/3623 122434/46791 -279061/40516 22991/3044 -83722/99659 -34970/3931 -3764/3189 -13499/17594 -125209/40742 206290/68263 144134/57139 641931/70147 121447/70597 -281270/40219 433109/69977 -46567/8832 497042/95337 -201/28 756299/78493 24101/4008 275985/91372 -340805/77294 419119/41933 6747/8005 -255289/42046 =
-10301/1715 -126753/16306 194325/49484 369191/44615 -3630/5141 -14264/9771 229973/58440 37396/7009 606488/70901 5323/857 -248519/31250 -586181/77824 -46031/11758 473515/60738 -323861/55235 -899087/90914 239237/30596 73/7785 14477/2775 -10722/7855 -294122/49351 -334511/36627 -103285/19233 11333/1220 135025/15442 74731/13007 569639/79949 190389/50545 45879/32233 84367/11422 -14982/5153 163477/16834 -152764/15517 9646/2607 165457/51250 303431/49661 -3037/2094 -273805/48192 -120959/87751 -187745/75214 -804776/92689 776699/91004 4705/12208 750/18329 -9061/1501 -35583/23885 -339749/57410 244937/32426 114943/20846 408099/43813 <
-666696/77495 -216543/21943 392221/44141 460853/63111 322049/33095 1303/307 -18373/2704 104592/26089 -66056/14369 -56292/6235 43405/28751 -29366/91737 865384/91473 -33277/8994 -343650/61531 -206191/45654 84781/15551 32642/8425 163391/27099 190799/69334 250813/30087 183869/45957 4435/878 -129401/27053 37400/4011 56636/8763 -121398/37945 179063/39147 -105676/14373 42151/5313 11425/1577 11482/3015 -351953/44433 93488/22963 -230200/83213 7727/1012 -24673/4536 -17092/34933 475371/52129 -50049/69376 -251320/63761 -135197/46823 -17711/7712 -153591/42005 164555/29349 -57237/15293 -39555/25247 -390416/43103 110617/16708 -35305/25062 >
51479/89382 -393605/41964 776611/93939 826723/87716 541523/59049 42400/4429 -1294/607 -279815/76586 -9033/46513 -32775/7963 143789/19155 11736/2011 63242/17505 -53273/16560 152193/97792 52482/20201 228323/92952 5309/537 369413/93887 67257/33110 -322976/32947 316776/45173 23456/38373 -85811/16239 -86522/42023 41949/26326 -3681/568 -101352/19447 69153/46723 -10592/5661 -263900/85711 18719/22096 148618/36263 4046/3751 -1773/362 11047/1106 -8930/2081 -16693/2327 111127/42462 648885/67493 -45368/34355 127909/25653 -188620/27589 113653/12434 777899/85615 -373705/52041 -28057/3327 5869/18990 853289/99095 66289/13189 =
-87446/37041 -71514/18493 175499/41205 18904/8209 665580/94187 40063/4419 -569704/60549 478858/50187 -150271/42183 -194461/22759 3719/988 470203/54479 -106569/29045 -14788/21043 540837/63329 -367665/43043 347533/99075 14251/29851 244883/38340 65629/7203 -62018/37805 30459/48238 6674/42015 25409/22263 -2013/1042 -236979/48811 -4469/2024 -12197/23999 10939/1232 76357/21043 9487/19025 -488773/60944 288199/39140 45595/9903 -219187/46600 -115022/18077 -7570/1847 -13849/3387 771665/88787 340457/37423 -543254/68553 378883/73771 -737943/98989 -271700/27173 15785/2339 -271103/98720 43972/16663 88747/24080 23789/47276 -43934/18459 <
-5494/2523 72484/9939 34837/14193 220221/32554 13586/9439 -435054/98039 43391/11346 -126512/14679 539/7407 753869/76184 255451/72652 15073/3523 -65155/8913 194287/29514 -11810/11627 96920/90307 261551/27742 71881/14608 15803/1933 128027/36118 -19193/2455 3699/10996 -360459/50668 -581622/75047 59788/13027 -38325/6203 -41839/70275 -490239/55799 26422/22227 184757/44377 28207/2962 -226163/32752 147862/37175 -61003/26975 -1530/22327 -16057/3401 110150/14719 199008/50633 -323719/54034 -4417/1427 56117/10172 -316532/57345 -228789/54178 -48073/10001 178327/62210 97611/27844 -29053/10551 -140522/51803 -437987/64184 -732307/95844 <
-365983/57450 -392473/43006 -176330/75931 2563/2397 -34518/39005 30632/13311 -25237/5130 16282/6263 -25513/43492 -392275/79512 -32689/4938 164441/16740 -140577/44783 8191/4883 769/5157 -117917/34351 42138/14765 11094/1553 715672/83791 1963/3247 813249/90328 5763/9434 -4261/57012 -528131/99975 -122583/55945 43699/17290 84521/8999 -54321/16829 838314/91709 -72639/10609 -247936/25349 -18441/3238 -387256/49289 -240899/47976 121911/13255 -253403/74056 118201/17665 27454/4003 -3958/2525 -528811/96277 -137087/32233 99535/10766 98661/58994 138118/24085 32582/53499 309577/68774 43462/24853 -91538/43437 -137552/14477 164353/18357 >
120308/68315 66740/7343 -169003/41215 302956/39237 -221358/27667 10897/2902 47215/5592 896/213 -105518/17315 127829/17952 -1129/302 79642/95887 -274767/43552 159433/17301 -815478/98725 14881/2222 -118341/84949 -590375/65887 -176933/18555 -7219/2214 33853/14851 -734265/84577 161669/44139 644/10803 -46867/51535 -1495/412 -169133/22175 -4167/2023 -17372/38941 -719469/75847 -15874/59553 394853/79004 -483715/98136 -355809/38906 7160/43617 -116998/12623 -203735/27504 -9536/5493 -203076/27371 -2245/9178 -290724/60875 44033/10268 221461/97326 -6725/4218 -582971/75914 256241/48169 120813/71887 552393/72797 9657/1094 -78197/21576 >
-53311/11953 18269/4514 -87440/19451 235329/84851 78697/46185 -436855/47989 -144094/15365 -268303/44741 -11211/1889 -772594/87901 -20449/34945 601089/87323 -242768/27637 -214353/66817 229846/61445 56244/17597 -221009/29579 -17388/47923 -264533/40450 -186218/28725 14473/2127 7628/3915 771402/90389 34724/5661 155/48 86737/60194 192385/24213 -109937/13130 -244019/24681 13291/7540 40177/12759 698189/90351 32277/13124 -20933/5847 -10049/18260 -33341/6255 503264/63325 -276633/84734 212847/41188 -4710/1493 196747/93477 11095/57723 7294/1361 432824/48971 -225921/24293 -38401/6752 635/179 -204785/20551 -157516/18945 -20/3 =
8218/951 30917/21783 20227/10505 -107186/37799 375055/43971 -391757/72805 8310/24569 -366391/91797 153935/16241 -11/194 -33415/5036 622630/71119 80911/28334 -203760/28657 674809/94341 429937/66222 -756671/85518 -268839/27746 -4188/10457 -748871/83910 -1433/1953 76768/18995 -9886/2609 11732/3117 181010/24341 -525061/97803 -521545/57988 -69072/56239 1783/1154 283427/38473 -41445/6023 -6576/1121 348707/44944 -768324/79669 506415/57676 110516/22705 -34171/9952 -44044/4787 220775/76302 48329/8426 107357/83533 -40974/16745 -210907/81323 -40473/5248 -322337/36348 104824/22365 493493/73284 235733/68929 -96365/54307 -1007/3216 >
83641/37791 -668827/76976 -664647/70510 -19373/11286 230320/57267 199152/31753 160346/69479 553131/55459 -385275/73088 -136229/22024 -226163/72291 82571/8505 215469/28105 -166007/22647 -67323/36460 17075/3976 -228332/86417 -112171/72447 114355/45442 -786031/99863 734643/91093 110414/12333 -603321/81569 -244733/34761 -118709/16277 -34778/16117 136255/39504 -265995/50906 31489/21708 -236963/93232 136727/56228 99003/88373 62312/36905 -67799/58746 -395655/44372 511694/51279 30779/5469 -814562/95687 -107796/78565 -150245/88683 -160112/43767 123803/89712 19069/46219 11078/5139 -33/16 -4680/1627 429740/88943 -20318/4259 -154699/16184 -98390/13963 >
-212660/26913 397/6273 -22848/2489 -104979/23297 -309377/31520 -333851/94407 139847/25935 1751/5489 -397643/42548 -73019/26108 8522/2065 253171/43638 -50129/39568 -307027/64301 -70838/8255 -628717/83039 -241483/83659 64721/11749 204338/33283 -4046/6305 -374319/75116 445694/47537 302567/78004 -632569/84815 108387/35810 44385/16633 7898/1427 116041/24087 -291225/31853 -504724/81791 789255/91606 -562223/88329 58025/40244 4727/575 13250/19789 384736/70795 -27421/8712 -64909/31699 -589184/87111 -17197/1733 3757/1539 -6138/2119 57974/7517 20578/8571 138289/64947 -89706/32723 444354/58081 -68922/28625 -84473/15209 29791/8924 =
-2340/3839 -838501/89759 -350021/68167 -93637/27971 -717432/88069 -94585/21859 -26169/5935 -819843/92545 -9113/3015 -961441/98517 683/41364 430092/57881 68909/18754 12426/68981 -2975/902 108673/12465 -66193/10025 -219/59 78712/98547 -25164/11701 26923/5651 -42591/10681 -32151/27404 7015/2021 -59071/17205 155859/19655 -106681/13064 155241/41851 -36439/44351 12660/1643 545955/83342 428063/70131 -21911/25376 -2554/793 137948/30617 23201/46381 32675/6547 38723/7625 515173/75743 3949/487 -25723/14684 -4261/5908 -10805/4027 36629/9109 205233/29417 55447/14284 72746/9941 73143/25787 -27536/23803 -293433/32948 =
17819/43003 12327/4556 4634/1189 -45611/7682 875053/87950 -273157/39917 -488367/75646 -38575/3861 18857/9849 6294/707 -104132/82767 29973/4885 344939/50369 588615/90968 6191/1052 549874/58983 -23934/15913 -454/55 27315/47512 18155/4331 23476/7633 -45809/6797 -555474/57823 -628/139 110212/21815 183437/18589 211020/29173 -181233/31399 137890/48203 46493/11866 274729/36395 -41248/5211 -75904/99355 54073/34284 161067/16303 15711/5033 -41020/40653 57371/51763 -292739/41507 -29843/10863 -261805/38673 -50221/80819 -379203/89891 -37483/16182 594207/64394 -71586/30089 -117196/12007 273361/40889 64074/29975 94587/56144 <
540549/58241 103176/33373 -209005/42171 -15763/7802 -82834/44129 248467/44258 -4496/1919 -7979/826 230189/39235 20117/3201 14121/19409 -366893/50037 -295061/84436 -157465/41582 452533/56560 244507/81717 -564507/72422 -211995/31543 121619/23031 225034/23285 136068/34495 -164831/19915 440012/53655 242094/33733 387553/84451 555992/82925 -387402/89335 -24581/15016 590355/90658 -2151/11167 -25019/18496 -413597/99481 226165/32704 -26189/4848 294437/63779 -137586/27647 10757/3445 142484/22193 38859/6067 632899/68369 -208780/32931 -15240/2473 -95339/42704 -52037/69011 -953675/95766 -14109/9289 127867/13116 -283928/49025 309689/36225 692684/79051 >
117665/21287 -365119/43257 -388129/97562 433244/45455 25995/3091 -155391/21940 -20872/5325 175785/25291 -22979/9351 12141/1375 -27581/3715 -25061/3197 59420/19019 -70389/10198 -107930/14141 439757/44472 106538/14825 -238159/27264 -146688/19235 39518/28023 -297831/51815 10003/1243 -234707/35762 -11310/2471 296944/43603 536971/61828 185013/31145 -843/302 -140346/18623 344647/54752 -82137/15940 -500506/66301 169495/29351 443843/48456 201622/25413 396449/65387 13159/3812 -59515/10134 -197174/31975 -180160/30559 -28377/15437 14402/1461 482791/69954 86468/11849 31083/8443 -131827/69922 -7175/2509 -22169/5671 34903/19526 -137536/21055 >
